Date,Day,Time,Hour,Route,Bus No,Student_ID,Attendance
01-09-2025,Monday,09:09,9,University,B-202,S2004,Present
01-09-2025,Monday,08:47,8,Express Dc,B-401,S2139,Present
01-09-2025,Monday,09:09,9,City Center,B-101,S2399,Present
01-09-2025,Monday,09:14,9,South Suburb,B-303,S2110,Present
01-09-2025,Monday,08:59,8,City Center,B-102,S2153,Present
01-09-2025,Monday,09:05,9,University,B-202,S2021,Present
01-09-2025,Monday,08:34,8,University,B-202,S2141,Present
01-09-2025,Monday,08:33,8,University,B-202,S2075,Present
01-09-2025,Monday,08:41,8,Express Dc,B-401,S2116,Present
01-09-2025,Monday,08:53,8,South Suburb,B-303,S2368,Present
01-09-2025,Monday,09:14,9,Express Dc,B-401,S2096,Present
01-09-2025,Monday,09:15,9,South Suburb,B-303,S2436,Present
01-09-2025,Monday,08:53,8,South Suburb,B-303,S2594,Present
01-09-2025,Monday,08:54,8,City Center,B-101,S2364,Present
01-09-2025,Monday,08:35,8,City Center,B-102,S2214,Absent
01-09-2025,Monday,16:32,16,University,B-202,S2470,Present
01-09-2025,Monday,16:31,16,City Center,B-101,S2338,Present
01-09-2025,Monday,17:15,17,University,B-202,S2233,Present
01-09-2025,Monday,17:07,17,University,B-202,S2439,Present
01-09-2025,Monday,17:00,17,Express Dc,B-401,S2094,Present
01-09-2025,Monday,17:07,17,University,B-202,S2370,Present
01-09-2025,Monday,16:38,16,University,B-202,S2106,Present
01-09-2025,Monday,16:57,16,University,B-202,S2142,Present
01-09-2025,Monday,16:49,16,South Suburb,B-303,S2570,Present
01-09-2025,Monday,16:45,16,University,B-202,S2579,Present
02-09-2025,Tuesday,09:01,9,City Center,B-101,S2131,Present
02-09-2025,Tuesday,08:45,8,City Center,B-101,S2301,Present
02-09-2025,Tuesday,08:53,8,City Center,B-101,S2212,Present
02-09-2025,Tuesday,08:58,8,South Suburb,B-303,S2322,Present
02-09-2025,Tuesday,08:53,8,City Center,B-102,S2098,Present
02-09-2025,Tuesday,08:53,8,South Suburb,B-303,S2081,Present
02-09-2025,Tuesday,09:13,9,South Suburb,B-303,S2018,Present
02-09-2025,Tuesday,09:05,9,City Center,B-102,S2316,Absent
02-09-2025,Tuesday,08:41,8,University,B-202,S2533,Present
02-09-2025,Tuesday,09:10,9,City Center,B-101,S2050,Present
02-09-2025,Tuesday,09:07,9,City Center,B-101,S2031,Present
02-09-2025,Tuesday,08:49,8,City Center,B-101,S2297,Present
02-09-2025,Tuesday,08:43,8,City Center,B-101,S2222,Present
02-09-2025,Tuesday,13:20,13,South Suburb,B-303,S2411,Present
02-09-2025,Tuesday,16:34,16,South Suburb,B-303,S2192,Present
02-09-2025,Tuesday,16:37,16,Express Dc,B-401,S2103,Present
02-09-2025,Tuesday,16:48,16,South Suburb,B-303,S2527,Present
02-09-2025,Tuesday,17:06,17,Express Dc,B-401,S2152,Present
02-09-2025,Tuesday,16:36,16,University,B-202,S2122,Present
02-09-2025,Tuesday,17:10,17,City Center,B-102,S2566,Present
02-09-2025,Tuesday,16:36,16,University,B-202,S2023,Present
02-09-2025,Tuesday,17:04,17,University,B-202,S2328,Present
02-09-2025,Tuesday,16:51,16,Express Dc,B-401,S2233,Absent
02-09-2025,Tuesday,17:03,17,South Suburb,B-303,S2321,Present
02-09-2025,Tuesday,16:51,16,City Center,B-101,S2017,Present
02-09-2025,Tuesday,17:14,17,South Suburb,B-303,S2198,Present
02-09-2025,Tuesday,16:48,16,South Suburb,B-303,S2108,Present
02-09-2025,Tuesday,16:53,16,City Center,B-102,S2212,Present
02-09-2025,Tuesday,17:04,17,City Center,B-101,S2405,Present
03-09-2025,Wednesday,08:50,8,Express Dc,B-401,S2045,Present
03-09-2025,Wednesday,08:32,8,City Center,B-101,S2505,Present
03-09-2025,Wednesday,08:49,8,City Center,B-101,S2537,Present
03-09-2025,Wednesday,08:34,8,City Center,B-102,S2212,Present
03-09-2025,Wednesday,09:15,9,City Center,B-102,S2296,Present
03-09-2025,Wednesday,08:51,8,City Center,B-102,S2056,Present
03-09-2025,Wednesday,09:09,9,South Suburb,B-303,S2250,Present
03-09-2025,Wednesday,08:32,8,South Suburb,B-303,S2384,Present
03-09-2025,Wednesday,08:46,8,University,B-202,S2365,Present
03-09-2025,Wednesday,09:07,9,City Center,B-101,S2057,Present
03-09-2025,Wednesday,08:40,8,City Center,B-101,S2201,Present
03-09-2025,Wednesday,08:59,8,City Center,B-101,S2028,Absent
03-09-2025,Wednesday,16:30,16,University,B-202,S2164,Present
03-09-2025,Wednesday,16:38,16,City Center,B-101,S2464,Present
